month,01_Adoption_Programs,02_Long-Term_Reserve,03_Foundation_Treasury,04_Builder_&_Partner_Grants,05_Personnel,06_Early_Backers_Escrow,07_Founders_Escrow,09_Contingency_Reserve,10_Public_Sector_Programs,12_Node_Operations,unlocked_total_qdn,circulating_qdn,minted_supply_qdn,circulating_bps_of_supply
89,960000000,445000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3845000000,56010100,4307812101,130
90,960000000,450000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3850000000,56010100,4311401944,129
91,960000000,455000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3855000000,56010100,4314994779,129
92,960000000,460000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3860000000,56010100,4318590608,129
93,960000000,465000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3865000000,56010100,4322189434,129
94,960000000,470000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3870000000,56010100,4325791258,129
95,960000000,475000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3875000000,56010100,4329396084,129
96,960000000,480000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3880000000,56010100,4333003915,129
97,960000000,485000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3885000000,56010100,4336614751,129
98,960000000,490000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3890000000,56010100,4340228597,129
99,960000000,495000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3895000000,56010100,4343845454,128
100,960000000,500000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3900000000,56010100,4347465325,128
101,960000000,505000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3905000000,56010100,4351088213,128
102,960000000,510000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3910000000,56010100,4354714120,128
103,960000000,515000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3915000000,56010100,4358343048,128
104,960000000,520000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3920000000,56010100,4361975001,128
105,960000000,525000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3925000000,56010100,4365609980,128
106,960000000,530000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3930000000,56010100,4369247988,128
107,960000000,535000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3935000000,56010100,4372889028,128
108,960000000,540000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3940000000,56010100,4376533102,127
109,960000000,545000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3945000000,56010100,4380180213,127
110,960000000,550000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3950000000,56010100,4383830363,127
111,960000000,555000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3955000000,56010100,4387483555,127
112,960000000,560000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3960000000,56010100,4391139792,127
113,960000000,565000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3965000000,56010100,4394799075,127
114,960000000,570000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3970000000,56010100,4398461407,127
115,960000000,575000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3975000000,56010100,4402126792,127
116,960000000,580000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3980000000,56010100,4405795231,127
117,960000000,585000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3985000000,56010100,4409466727,127
118,960000000,590000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3990000000,56010100,4413141283,126
119,960000000,595000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,3995000000,56010100,4416818900,126
120,960000000,600000000,560000000,440000000,320000000,280000000,200000000,240000000,320000000,10100,4000000000,56010100,4420499583,126
